symbol_index,rank,letter,proximity,profile_proximity,final_score
7,6,ტ,0.7310426827045116,0.7310426827045116,0.7310426827045116
7,7,ჯ,0.7002533527265955,0.7002533527265955,0.7002533527265955
7,8,ჰ,0.6983846416752485,0.6983846416752485,0.6983846416752485
7,9,გ,0.6822165911461298,0.6822165911461298,0.6822165911461298
7,10,ვ,0.6721563482457624,0.6721563482457624,0.6721563482457624
7,11,მ,0.667046775329947,0.667046775329947,0.667046775329947
7,12,ე,0.6563686679391807,0.6563686679391807,0.6563686679391807
7,13,პ,0.6502197916081349,0.6502197916081349,0.6502197916081349
7,14,ჟ,0.6438783483803308,0.6438783483803308,0.6438783483803308
7,15,ზ,0.6438487261811532,0.6438487261811532,0.6438487261811532
7,16,კ,0.637056133924121,0.637056133924121,0.637056133924121
7,17,ხ,0.618332372804629,0.618332372804629,0.618332372804629
7,18,შ,0.5997028162363307,0.5997028162363307,0.5997028162363307
7,19,უ,0.5924355208442793,0.5924355208442793,0.5924355208442793
7,20,ს,0.5894535097093876,0.5894535097093876,0.5894535097093876
7,21,ნ,0.5855151400612195,0.5855151400612195,0.5855151400612195
7,22,ჭ,0.5602500152335137,0.5602500152335137,0.5602500152335137
7,23,ჩ,0.5484243362614786,0.5484243362614786,0.5484243362614786
7,24,წ,0.541492202249974,0.541492202249974,0.541492202249974
7,25,ქ,0.5184517330457526,0.5184517330457526,0.5184517330457526
7,26,რ,0.5070146317383273,0.5070146317383273,0.5070146317383273
7,27,თ,0.4990658974500193,0.4990658974500193,0.4990658974500193
7,28,ღ,0.3674228694664726,0.3674228694664726,0.3674228694664726
7,29,ო,0.35577334076749323,0.35577334076749323,0.35577334076749323
7,30,ი,0.34630647426420214,0.34630647426420214,0.34630647426420214
7,31,დ,0.3253449311979707,0.3253449311979707,0.3253449311979707
7,32,ფ,0.3238567896500658,0.3238567896500658,0.3238567896500658
7,33,ლ,0.32345689559948987,0.32345689559948987,0.32345689559948987
8,1,რ,0.9058932177213426,0.9058932177213426,0.9058932177213426
8,2,ჩ,0.7236210020544414,0.7236210020544414,0.7236210020544414
8,3,თ,0.7209276400077134,0.7209276400077134,0.7209276400077134
8,4,ზ,0.7059128708942735,0.7059128708942735,0.7059128708942735
8,5,ნ,0.6976272328206875,0.6976272328206875,0.6976272328206875
8,6,ღ,0.6905560675990392,0.6905560675990392,0.6905560675990392
